Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
src/perl/perl-signals.c;1;1;1;ROOT;1;746
src/perl/perl-signals.c;1;1;1;artifact;1;481
src/perl/perl-signals.c;1;SIGNAL_MAX_ARGUMENTS__NEQ__6;1 && SIGNAL_MAX_ARGUMENTS__NEQ__6;if;482;482
src/perl/perl-signals.c;1;SIGNAL_MAX_ARGUMENTS__NEQ__6;1 && SIGNAL_MAX_ARGUMENTS__NEQ__6;artifact;483;483
src/perl/perl-signals.c;1;SIGNAL_MAX_ARGUMENTS__NEQ__6;1 && SIGNAL_MAX_ARGUMENTS__NEQ__6;endif;484;484
src/perl/perl-signals.c;1;1;1;artifact;485;745
src/perl/perl-signals.h;1;1;1;ROOT;1;39
src/perl/perl-signals.h;1;!IRSSI_PERL_PERL_SIGNALS_H;1 && !IRSSI_PERL_PERL_SIGNALS_H;if;1;1
src/perl/perl-signals.h;1;!IRSSI_PERL_PERL_SIGNALS_H;1 && !IRSSI_PERL_PERL_SIGNALS_H;artifact;2;36
src/perl/perl-signals.h;1;!IRSSI_PERL_PERL_SIGNALS_H;1 && !IRSSI_PERL_PERL_SIGNALS_H;endif;37;37
src/perl/perl-signals.h;1;1;1;artifact;38;38
src/perl/perl-sources.c;1;1;1;ROOT;1;189
src/perl/perl-sources.c;1;1;1;artifact;1;188
src/perl/perl-sources.h;1;1;1;ROOT;1;16
src/perl/perl-sources.h;1;!IRSSI_PERL_PERL_SOURCES_H;1 && !IRSSI_PERL_PERL_SOURCES_H;if;1;1
src/perl/perl-sources.h;1;!IRSSI_PERL_PERL_SOURCES_H;1 && !IRSSI_PERL_PERL_SOURCES_H;artifact;2;13
src/perl/perl-sources.h;1;!IRSSI_PERL_PERL_SOURCES_H;1 && !IRSSI_PERL_PERL_SOURCES_H;endif;14;14
src/perl/perl-sources.h;1;1;1;artifact;15;15
src/perl/textui/module.h;1;1;1;ROOT;1;19
src/perl/textui/module.h;1;1;1;artifact;1;18
src/perl/textui/wrapper_buffer_line.h;1;1;1;ROOT;1;92
