dataset,metric,number_of_variants,ft_percentage,boost,mistake_type,mistake_percentage,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
argouml-spl,f1,5,5,True,ErroneousConjunction,100,0.08930525937101606,True,2.315532078167194e-05,True,6.869714707136154e-05,True
argouml-spl,f1,5,5,True,SwappedFeature,25,0.16555073868788422,True,5.763487141409968e-12,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,True,SwappedFeature,50,0.1822005238464257,True,9.747160794225785e-08,True,2.3562461137771606e-07,True
argouml-spl,f1,5,5,True,SwappedFeature,75,0.055805199959049805,True,0.0100477152171275,True,0.017268367111682892,True
argouml-spl,f1,5,5,True,SwappedFeature,100,0.3851933667581624,True,0.8819261589031372,False,0.8599566090852022,False
argouml-spl,f1,5,10,False,SwappedCondition,25,0.20727887443476428,True,1.0562213792790383e-11,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,False,SwappedCondition,50,0.13836866312533996,True,2.9805548003262685e-05,True,6.869714707136154e-05,True
argouml-spl,f1,5,10,False,SwappedCondition,75,0.6204689129162595,True,0.5316888748593389,False,0.532300665974617,False
argouml-spl,f1,5,10,False,SwappedCondition,100,0.08627700751729298,True,0.9999957035009094,False,0.9999974276870489,False
argouml-spl,f1,5,10,False,ErroneousConjunction,25,0.08071075616909326,True,2.5788008915271945e-14,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,False,ErroneousConjunction,50,0.16108853601284762,True,7.583341124111315e-11,True,1.862645149230957e-09,True
argouml-spl,f1,5,10,False,ErroneousConjunction,75,0.3288536475412235,True,7.06155450378719e-07,True,1.8952414393424988e-06,True
argouml-spl,f1,5,10,False,ErroneousConjunction,100,0.09880414653377051,True,0.010336854757073561,True,0.013870718888938427,True
argouml-spl,f1,5,10,False,SwappedFeature,25,0.14126306218258883,True,1.9389246383977458e-11,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,False,SwappedFeature,50,0.18510541434803446,True,4.739450504119822e-05,True,0.00012814439833164215,True
argouml-spl,f1,5,10,False,SwappedFeature,75,0.1384883485947549,True,0.7665659362098469,False,0.7354474077001214,False
argouml-spl,f1,5,10,False,SwappedFeature,100,0.14250653400417818,True,0.9999984169177274,False,0.9999960027635098,False
argouml-spl,f1,5,10,True,SwappedCondition,25,0.21789181686179698,True,1.0056022599147881e-11,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,True,SwappedCondition,50,0.1716302337811797,True,2.626935757600826e-05,True,6.166845560073853e-05,True
argouml-spl,f1,5,10,True,SwappedCondition,75,0.6192624764982635,True,0.5407143061287958,False,0.5564025957137346,False
argouml-spl,f1,5,10,True,SwappedCondition,100,0.10604596235390051,True,0.9999965399216043,False,0.9999986188486218,False
argouml-spl,f1,5,10,True,ErroneousConjunction,25,0.06124718816530158,True,2.1089022610594056e-14,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,True,ErroneousConjunction,50,0.15441189763473878,True,7.459187769487633e-11,True,1.862645149230957e-09,True
argouml-spl,f1,5,10,True,ErroneousConjunction,75,0.3122971367680305,True,6.413484213305664e-07,True,1.8952414393424988e-06,True
argouml-spl,f1,5,10,True,ErroneousConjunction,100,0.08751049657792466,True,0.009500228619186665,True,0.011705071665346622,True
argouml-spl,f1,5,10,True,SwappedFeature,25,0.12599545480790308,True,1.8866581114867963e-11,True,9.313225746154785e-10,True
argouml-spl,f1,5,10,True,SwappedFeature,50,0.18854519606802717,True,4.817511105759033e-05,True,0.00012814439833164215,True
argouml-spl,f1,5,10,True,SwappedFeature,75,0.13892471553617614,True,0.7701318931861514,False,0.7614467591047287,False
argouml-spl,f1,5,10,True,SwappedFeature,100,0.1657788353108987,True,0.9999983932166587,False,0.999994695186615,False
argouml-spl,f1,5,15,False,SwappedCondition,25,0.3996921627622082,True,6.80583566644461e-11,True,2.7939677238464355e-09,True
argouml-spl,f1,5,15,False,SwappedCondition,50,0.6652690392644918,True,0.0018415362527396868,True,0.0018722163513302803,True
argouml-spl,f1,5,15,False,SwappedCondition,75,0.22777298028205217,True,0.9982932185352967,False,0.9973086100071669,False
argouml-spl,f1,5,15,False,SwappedCondition,100,0.1453685090079494,True,0.999999984575149,False,0.999999986961484,False
argouml-spl,f1,5,15,False,ErroneousConjunction,25,0.12405831091468517,True,3.4682426064971186e-14,True,9.313225746154785e-10,True
argouml-spl,f1,5,15,False,ErroneousConjunction,50,0.20712363312646287,True,5.003332461657793e-10,True,4.6566128730773926e-09,True
argouml-spl,f1,5,15,False,ErroneousConjunction,75,0.19115697446155527,True,3.0018217963849263e-05,True,7.643550634384155e-05,True
argouml-spl,f1,5,15,False,ErroneousConjunction,100,0.20001379565269933,True,0.38889801757118164,False,0.380532736890018,False
argouml-spl,f1,5,15,False,SwappedFeature,25,0.23231931182751447,True,4.977465196650263e-11,True,1.862645149230957e-09,True
argouml-spl,f1,5,15,False,SwappedFeature,50,0.19135593811517293,True,0.002586561530020437,True,0.004071489907801151,True
argouml-spl,f1,5,15,False,SwappedFeature,75,0.25736743973374165,True,0.9984072749333249,False,0.9971117535606027,False
argouml-spl,f1,5,15,False,SwappedFeature,100,0.219659232333633,True,0.9999999994465655,False,1.0,False
argouml-spl,f1,5,15,True,SwappedCondition,25,0.3896095574098586,True,6.408695874751385e-11,True,2.7939677238464355e-09,True
argouml-spl,f1,5,15,True,SwappedCondition,50,0.6590533241164829,True,0.0018456395339280247,True,0.0018722163513302803,True
argouml-spl,f1,5,15,True,SwappedCondition,75,0.24477559604793164,True,0.9983703856209873,False,0.9974936936050653,False
argouml-spl,f1,5,15,True,SwappedCondition,100,0.14569927385921344,True,0.999999985208175,False,0.999999986961484,False
argouml-spl,f1,5,15,True,ErroneousConjunction,25,0.11996747532228857,True,3.4268128059215975e-14,True,9.313225746154785e-10,True
argouml-spl,f1,5,15,True,ErroneousConjunction,50,0.2096068916500859,True,4.698163177079563e-10,True,4.6566128730773926e-09,True
argouml-spl,f1,5,15,True,ErroneousConjunction,75,0.19355280879372078,True,2.992543716300786e-05,True,7.643550634384155e-05,True
argouml-spl,f1,5,15,True,ErroneousConjunction,100,0.21008298524931418,True,0.37083013764637557,False,0.3500164607539773,False
argouml-spl,f1,5,15,True,SwappedFeature,25,0.22526266728115008,True,4.8799426677528996e-11,True,1.862645149230957e-09,True
