dataset,metric,number_of_variants,ft_percentage,boost,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
dia,f1,7,5,False,0.14296840131425637,True,6.252044576542344e-09,True,1.8948097207904354e-06,True
dia,f1,7,5,True,0.01974090836908848,False,1.1806590681310181e-08,True,1.8948097207904354e-06,True
dia,f1,7,10,False,0.277445325828522,True,3.230964587687563e-10,True,9.313225746154785e-10,True
dia,f1,7,10,True,0.04195960232857255,False,4.394523639410957e-09,True,9.313225746154785e-10,True
dia,f1,7,15,False,0.36991177211835063,True,5.6916429597497116e-11,True,9.313225746154785e-10,True
dia,f1,7,15,True,0.12675143565713937,True,4.621657241989543e-09,True,9.313225746154785e-10,True
dia,f1,7,20,False,0.48437864473366743,True,1.1385516743111509e-11,True,1.2815416253625037e-06,True
dia,f1,7,20,True,0.042984733106381894,False,1.281004777238105e-08,True,1.2815416253625037e-06,True
dia,f1,7,25,False,0.8136368871938335,True,2.9096648567234774e-12,True,1.862645149230957e-09,True
dia,f1,7,25,True,0.3679643163422539,True,1.4218623799728626e-09,True,1.862645149230957e-09,True
dia,precision,3,5,False,0.011142247831838818,False,5.147855347513342e-26,True,9.313225746154785e-10,True
dia,precision,3,5,True,0.021565564951865724,False,1.8734158234295528e-09,True,9.313225746154785e-10,True
dia,precision,3,10,False,0.003804476982862932,False,1.0669402267254025e-28,True,9.313225746154785e-10,True
dia,precision,3,10,True,0.29191570115636345,True,1.887885501539758e-11,True,9.313225746154785e-10,True
dia,precision,3,15,False,0.014806263020264436,False,5.409821293230039e-29,True,9.313225746154785e-10,True
dia,precision,3,15,True,0.027881189481852902,False,1.5193273851459653e-10,True,9.313225746154785e-10,True
dia,precision,3,20,False,0.00014377771692183948,False,2.1580456981851986e-30,True,9.313225746154785e-10,True
dia,precision,3,20,True,0.05639263099410762,True,4.993579403327531e-11,True,9.313225746154785e-10,True
dia,precision,3,25,False,0.00025953450980887075,False,1.0433439355587723e-30,True,9.313225746154785e-10,True
dia,precision,3,25,True,0.00439583693575713,False,5.1637194947004656e-11,True,9.313225746154785e-10,True
dia,precision,5,5,False,0.0069013939930593045,False,4.935710132886777e-19,True,9.313225746154785e-10,True
dia,precision,5,5,True,0.07646540767179469,True,3.3432783912144237e-09,True,9.313225746154785e-10,True
dia,precision,5,10,False,0.008715654102085319,False,1.4737774781467027e-21,True,9.313225746154785e-10,True
dia,precision,5,10,True,0.07206098507336554,True,1.9456703593946063e-09,True,9.313225746154785e-10,True
dia,precision,5,15,False,0.011134382639121336,False,1.149118013984004e-21,True,9.313225746154785e-10,True
dia,precision,5,15,True,0.030600242043008586,False,1.443517202941106e-09,True,9.313225746154785e-10,True
